60, 80
60, 90
60, 100
60, 110
60, 120
60, 130
60, 140
60, 150
60, 160
70, 90
70, 100
70, 110
70, 120
70, 130
70, 140
70, 150
70, 160
70, 170
80, 100
80, 110
80, 120
80, 130
80, 140
80, 150
80, 160
80, 170
80, 180
90, 110
90, 120
90, 130
90, 140
90, 150
90, 160
90, 170
90, 180
90, 190
100, 120
100, 130
100, 140
100, 150
100, 160
100, 170
100, 180
100, 190
100, 200
110, 130
110, 140
110, 150
110, 160
110, 170
110, 180
110, 190
110, 200
110, 210
120, 140
120, 150
120, 160
120, 170
120, 180
120, 190
120, 200
120, 210
120, 220
130, 150
130, 160
130, 170
130, 180
130, 190
130, 200
130, 210
130, 220
130, 230
140, 160
140, 170
140, 180
140, 190
140, 200
140, 210
140, 220
140, 230
140, 240
150, 170
150, 180
150, 190
150, 200
150, 210
150, 220
150, 230
150, 240
150, 250
160, 180
160, 190
160, 200
160, 210
160, 220
160, 230
160, 240
160, 250
160, 260
170, 190
170, 200
170, 210
170, 220
170, 230
170, 240
170, 250
170, 260
170, 270
180, 200
180, 210
180, 220
180, 230
180, 240
180, 250
180, 260
180, 270
180, 280
60, 152
70, 162
80, 172
90, 182
100, 192
110, 202
120, 212
130, 222
140, 232
150, 242
160, 252
170, 262
180, 272
85, 120
85, 170
115, 180
135, 190
165, 200
165, 250
60, 80
60, 90
60, 100
60, 110
60, 120
60, 130
60, 140
60, 150
60, 160
70, 90
70, 100
70, 110
70, 120
70, 130
70, 140
70, 150
70, 160
70, 170
80, 100
80, 110
80, 120
80, 130
80, 140
80, 150
80, 160
80, 170
80, 180
90, 110
90, 120
90, 130
90, 140
90, 150
90, 160
90, 170
90, 180
90, 190
100, 120
100, 130
100, 140
100, 150
100, 160
100, 170
100, 180
100, 190
100, 200
110, 130
110, 140
110, 150
110, 160
110, 170
110, 180
110, 190
110, 200
110, 210
120, 140
120, 150
120, 160
120, 170
120, 180
120, 190
120, 200
120, 210
120, 220
130, 150
130, 160
130, 170
130, 180
130, 190
130, 200
130, 210
130, 220
130, 230
140, 160
140, 170
140, 180
140, 190
140, 200
140, 210
140, 220
140, 230
140, 240
150, 170
150, 180
150, 190
150, 200
150, 210
150, 220
150, 230
150, 240
150, 250
160, 180
160, 190
160, 200
160, 210
160, 220
160, 230
160, 240
160, 250
160, 260
170, 190
170, 200
170, 210
170, 220
170, 230
170, 240
170, 250
170, 260
170, 270
180, 200
180, 210
180, 220
180, 230
180, 240
180, 250
180, 260
180, 270
180, 280
60, 152
70, 162
80, 172
90, 182
100, 192
110, 202
120, 212
130, 222
140, 232
150, 242
160, 252
170, 262
180, 272
85, 120
85, 170
115, 180
135, 190
165, 200
165, 250
